text,label
When a UAV is flying below a minimum threshold altitude  the system shall automatically display a warning message notifying the RPIC. [SEP]The UAV loads an up-to-date terrain map for its planned flight route prior to deployment.,1
When a UAV is flying below a minimum threshold altitude  the system shall automatically display a warning message notifying the RPIC. [SEP]The UAV shall adjust its altitude to compensate for changes in terrain based.,0
When a UAV is flying below a minimum threshold altitude  the system shall automatically display a warning message notifying the RPIC. [SEP]The system cedes control to the RPIC when requested using the radio controller.,0
When a UAV is flying below a minimum threshold altitude  the system shall automatically display a warning message notifying the RPIC. [SEP]The system shall track GPS coordinates within 1 meter of accuracy,0
When a UAV is flying below a minimum threshold altitude  the system shall automatically display a warning message notifying the RPIC. [SEP]Time to impact is computed based on velocity and direction of flight,0
When a UAV is flying below a critical threshold altitude and the system autonomously adjusts the flying altitude  the system shall notify the RPIC that it will automatically increase its altitude to maintain a minimum distance from the terrain [SEP]The UAV loads an up-to-date terrain map for its planned flight route prior to deployment.,1
When a UAV is flying below a critical threshold altitude and the system autonomously adjusts the flying altitude  the system shall notify the RPIC that it will automatically increase its altitude to maintain a minimum distance from the terrain [SEP]The UAV shall adjust its altitude to compensate for changes in terrain based.,0
When a UAV is flying below a critical threshold altitude and the system autonomously adjusts the flying altitude  the system shall notify the RPIC that it will automatically increase its altitude to maintain a minimum distance from the terrain [SEP]The system cedes control to the RPIC when requested using the radio controller.,0
When a UAV is flying below a critical threshold altitude and the system autonomously adjusts the flying altitude  the system shall notify the RPIC that it will automatically increase its altitude to maintain a minimum distance from the terrain [SEP]The system shall track GPS coordinates within 1 meter of accuracy,0
When a UAV is flying below a critical threshold altitude and the system autonomously adjusts the flying altitude  the system shall notify the RPIC that it will automatically increase its altitude to maintain a minimum distance from the terrain [SEP]Time to impact is computed based on velocity and direction of flight,0
All autonomous altitude adjustments taken for collision avoidance purposes are reported to the operator. [SEP]The UAV loads an up-to-date terrain map for its planned flight route prior to deployment.,0
All autonomous altitude adjustments taken for collision avoidance purposes are reported to the operator. [SEP]The UAV shall adjust its altitude to compensate for changes in terrain based.,1
All autonomous altitude adjustments taken for collision avoidance purposes are reported to the operator. [SEP]The system cedes control to the RPIC when requested using the radio controller.,0
All autonomous altitude adjustments taken for collision avoidance purposes are reported to the operator. [SEP]The system shall track GPS coordinates within 1 meter of accuracy,0
All autonomous altitude adjustments taken for collision avoidance purposes are reported to the operator. [SEP]Time to impact is computed based on velocity and direction of flight,0
The operator has the ability to override autonomous decisions to the fullest extent possible (e.g.  return to the pre-decision altitude) [SEP]The UAV loads an up-to-date terrain map for its planned flight route prior to deployment.,0
The operator has the ability to override autonomous decisions to the fullest extent possible (e.g.  return to the pre-decision altitude) [SEP]The UAV shall adjust its altitude to compensate for changes in terrain based.,1
The operator has the ability to override autonomous decisions to the fullest extent possible (e.g.  return to the pre-decision altitude) [SEP]The system cedes control to the RPIC when requested using the radio controller.,0
The operator has the ability to override autonomous decisions to the fullest extent possible (e.g.  return to the pre-decision altitude) [SEP]The system shall track GPS coordinates within 1 meter of accuracy,0
The operator has the ability to override autonomous decisions to the fullest extent possible (e.g.  return to the pre-decision altitude) [SEP]Time to impact is computed based on velocity and direction of flight,0
When requested by the user  the UAV must provide a comprehensible explanation of its autonomous decisions [SEP]The UAV loads an up-to-date terrain map for its planned flight route prior to deployment.,0
When requested by the user  the UAV must provide a comprehensible explanation of its autonomous decisions [SEP]The UAV shall adjust its altitude to compensate for changes in terrain based.,1
When requested by the user  the UAV must provide a comprehensible explanation of its autonomous decisions [SEP]The system cedes control to the RPIC when requested using the radio controller.,0
When requested by the user  the UAV must provide a comprehensible explanation of its autonomous decisions [SEP]The system shall track GPS coordinates within 1 meter of accuracy,0
When requested by the user  the UAV must provide a comprehensible explanation of its autonomous decisions [SEP]Time to impact is computed based on velocity and direction of flight,0
The system must have an inbuilt failsafe to prevent the UAV from flying directly into the ground. In the instance that the throttle is set downwards during a hand-over event  the UAV may descend rapidly but will stop and hover before reaching the ground. [SEP]The UAV loads an up-to-date terrain map for its planned flight route prior to deployment.,0
The system must have an inbuilt failsafe to prevent the UAV from flying directly into the ground. In the instance that the throttle is set downwards during a hand-over event  the UAV may descend rapidly but will stop and hover before reaching the ground. [SEP]The UAV shall adjust its altitude to compensate for changes in terrain based.,0
The system must have an inbuilt failsafe to prevent the UAV from flying directly into the ground. In the instance that the throttle is set downwards during a hand-over event  the UAV may descend rapidly but will stop and hover before reaching the ground. [SEP]The system cedes control to the RPIC when requested using the radio controller.,1
The system must have an inbuilt failsafe to prevent the UAV from flying directly into the ground. In the instance that the throttle is set downwards during a hand-over event  the UAV may descend rapidly but will stop and hover before reaching the ground. [SEP]The system shall track GPS coordinates within 1 meter of accuracy,0
The system must have an inbuilt failsafe to prevent the UAV from flying directly into the ground. In the instance that the throttle is set downwards during a hand-over event  the UAV may descend rapidly but will stop and hover before reaching the ground. [SEP]Time to impact is computed based on velocity and direction of flight,0
Whenever manual control is assumed by the RPIC  all remaining waypoints shall be cancelled by the system immediately and the UAV should switch to hover in place. The RPIC shall receive training on how to identify the heading of a UAV by rotating the UAV clockwise and accelering periodically. [SEP]The UAV loads an up-to-date terrain map for its planned flight route prior to deployment.,0
Whenever manual control is assumed by the RPIC  all remaining waypoints shall be cancelled by the system immediately and the UAV should switch to hover in place. The RPIC shall receive training on how to identify the heading of a UAV by rotating the UAV clockwise and accelering periodically. [SEP]The UAV shall adjust its altitude to compensate for changes in terrain based.,0
Whenever manual control is assumed by the RPIC  all remaining waypoints shall be cancelled by the system immediately and the UAV should switch to hover in place. The RPIC shall receive training on how to identify the heading of a UAV by rotating the UAV clockwise and accelering periodically. [SEP]The system cedes control to the RPIC when requested using the radio controller.,1
Whenever manual control is assumed by the RPIC  all remaining waypoints shall be cancelled by the system immediately and the UAV should switch to hover in place. The RPIC shall receive training on how to identify the heading of a UAV by rotating the UAV clockwise and accelering periodically. [SEP]The system shall track GPS coordinates within 1 meter of accuracy,0
Whenever manual control is assumed by the RPIC  all remaining waypoints shall be cancelled by the system immediately and the UAV should switch to hover in place. The RPIC shall receive training on how to identify the heading of a UAV by rotating the UAV clockwise and accelering periodically. [SEP]Time to impact is computed based on velocity and direction of flight,0
